-0,065	-0,014	-0,106
0,062	0,050	0,021
-0,002	0,082	0,053
-0,097	0,018	-0,042
-0,002	-0,077	-0,106
0,062	-0,014	-0,011
-0,002	0,082	-0,011
-0,097	0,018	0,085
-0,002	0,018	-0,074
0,094	-0,045	-0,106
0,094	-0,014	0,117
-0,002	0,050	0,085
-0,065	0,018	-0,011
-0,002	-0,077	-0,011
0,062	0,018	0,021
-0,002	0,082	0,117
-0,097	-0,014	0,021
-0,002	-0,045	-0,074
0,062	-0,077	-0,074
0,062	0,050	-0,011
-0,002	0,114	0,053
-0,097	-0,014	-0,042
-0,002	-0,077	-0,042
0,062	-0,077	-0,074
0,062	-0,045	-0,011
-0,002	0,050	0,085
-0,097	0,018	0,021
-0,033	-0,109	-0,106
0,062	0,018	0,021
-0,033	0,082	0,053
-0,097	-0,045	0,085
-0,065	-0,077	0,021
-0,002	-0,045	-0,106
0,062	0,114	-0,042
-0,002	0,018	0,053
-0,097	-0,109	-0,011
-0,002	-0,077	-0,042
0,062	0,018	0,021
-0,002	0,050	0,053
-0,097	-0,014	-0,011
-0,002	-0,077	-0,011
-0,002	-0,014	-0,074
0,062	0,050	-0,011
-0,002	-0,014	0,053
-0,065	-0,109	-0,011
-0,002	-0,109	-0,011
0,094	0,050	-0,106
0,094	0,082	-0,042
0,030	0,018	0,085
-0,065	-0,077	0,021
0,030	-0,077	-0,074
0,062	-0,077	0,021
-0,002	0,114	-0,011
-0,065	0,050	0,053
-0,097	-0,045	-0,011
-0,002	0,018	-0,011
0,062	0,018	-0,074
0,030	0,082	0,021
0,030	0,018	0,085
-0,065	-0,077	0,085
-0,065	-0,077	-0,106
0,062	-0,077	0,021
0,094	-0,014	-0,011
-0,002	0,082	0,085
-0,065	0,018	-0,011
-0,002	-0,077	-0,074
0,062	-0,077	-0,106
0,062	-0,014	-0,011
0,030	0,082	0,021
-0,065	-0,014	0,021
-0,065	-0,014	0,021
-0,002	-0,109	-0,106
0,094	-0,014	-0,011
-0,002	0,050	0,085
0,030	0,018	0,085
-0,065	-0,109	-0,011
0,030	-0,077	-0,011
-0,002	-0,014	-0,042
0,094	0,082	0,021
0,030	0,114	0,021
-0,002	0,018	0,085
-0,097	-0,045	-0,042
-0,002	0,018	0,021
-0,002	0,018	-0,042
0,030	0,018	0,021
-0,002	0,082	0,085
-0,097	0,018	0,021
-0,002	-0,077	-0,074
0,062	-0,045	-0,074
-0,002	0,018	0,021
-0,002	0,082	0,085
-0,129	0,018	-0,011
-0,033	-0,077	-0,106
0,062	-0,077	-0,042
0,094	-0,014	-0,042
-0,002	0,114	0,085
-0,065	0,018	0,021
-0,002	-0,077	-0,074
-0,002	-0,077	-0,011
0,062	-0,014	0,021
-0,033	0,082	0,021
-0,002	-0,014	0,085
-0,065	-0,014	0,021
-0,033	-0,077	-0,074
0,062	-0,014	-0,074
0,062	0,082	-0,042
-0,002	-0,014	0,085
-0,097	0,018	0,085
-0,002	-0,077	-0,011
-0,033	-0,014	-0,106
0,062	0,082	-0,011
-0,002	0,018	0,085
-0,097	0,018	-0,011
-0,002	0,018	-0,011
-0,002	0,018	-0,074
0,062	0,082	0,021
-0,002	-0,014	0,053
-0,097	-0,077	-0,011
-0,033	0,018	-0,074
0,062	-0,014	-0,074
-0,002	-0,014	-0,011
-0,002	-0,014	0,085
-0,033	-0,077	-0,011
0,030	0,018	-0,106
0,062	0,050	-0,042
-0,002	0,082	0,085
-0,065	-0,077	0,053
-0,065	-0,109	-0,011
0,030	0,018	-0,106
0,062	0,082	0,021
0,030	-0,014	0,085
-0,065	-0,109	-0,011
0,030	-0,077	-0,074
0,094	-0,014	0,021
-0,002	0,050	0,085
-0,097	-0,014	-0,011
-0,002	-0,077	-0,074
0,062	-0,077	-0,106
0,062	0,018	-0,011
-0,033	0,082	0,053
-0,097	0,018	-0,042
-0,002	-0,014	-0,011
-0,002	-0,077	-0,011
-0,002	0,018	-0,106
-0,033	0,082	0,021
-0,097	0,114	0,085
-0,097	0,018	0,021
0,030	-0,109	-0,074
0,062	0,018	0,021
-0,002	0,082	0,085
-0,097	-0,014	0,085
-0,002	-0,014	-0,106
-0,002	-0,077	-0,074
0,094	0,018	0,021
0,062	0,050	0,085
-0,065	-0,014	-0,011
-0,002	-0,109	-0,074
0,062	-0,014	-0,011
0,062	-0,045	0,021
-0,097	0,082	0,085
-0,097	-0,014	-0,011
-0,002	-0,077	-0,011
-0,002	-0,045	-0,074
0,094	0,082	0,021
-0,002	0,082	0,085
-0,065	-0,077	0,021
-0,065	-0,045	-0,011
-0,002	0,018	-0,106
0,094	0,082	-0,011
-0,002	0,082	0,021
-0,097	-0,014	0,053
-0,129	-0,077	-0,011
-0,033	-0,014	-0,106
0,030	0,082	0,021
-0,002	0,082	0,053
-0,065	0,018	-0,011
-0,002	-0,045	-0,011
-0,002	0,018	-0,106
0,094	0,114	0,021
0,030	0,082	0,053
-0,097	0,018	-0,011
-0,002	-0,077	-0,074
0,062	0,018	0,021
0,030	0,082	-0,011
-0,097	0,018	0,085
-0,097	-0,077	0,021
0,030	0,018	-0,074
0,062	0,050	0,021
0,062	-0,014	0,053
-0,033	-0,045	-0,011
0,030	-0,014	-0,074
0,126	0,114	0,021
0,062	-0,014	0,085
-0,065	-0,109	0,021
-0,033	-0,109	-0,106
0,030	-0,014	-0,074
-0,033	0,082	0,021
-0,002	0,018	0,085
-0,097	-0,077	0,021
-0,033	0,018	-0,042
0,062	0,082	-0,011
-0,002	0,050	0,117
-0,097	0,018	0,021
-0,002	-0,045	-0,106
0,126	-0,045	0,021
-0,002	0,050	0,117
-0,065	0,050	0,117
-0,065	-0,014	0,021
0,030	-0,109	-0,011
0,094	0,018	0,021
-0,002	0,018	-0,011
0,062	0,082	0,053
-0,065	-0,014	0,085
-0,065	-0,014	-0,011
-0,002	-0,077	0,021
-0,002	-0,077	-0,074
-0,002	0,018	-0,042
0,094	-0,014	-0,074
0,126	0,082	0,021
-0,002	0,082	-0,011
-0,002	0,018	0,085
-0,097	-0,014	0,085
-0,065	-0,077	0,021
-0,002	-0,109	0,021
-0,002	-0,014	-0,074
-0,033	-0,045	-0,042
0,062	0,082	0,053
-0,002	0,050	0,053
-0,065	-0,014	0,117
-0,097	-0,045	0,149
-0,129	-0,109	0,021
-0,002	0,018	0,021
0,094	-0,077	-0,042
0,094	0,018	-0,011
0,062	0,018	-0,011
-0,002	0,018	0,085
0,030	0,018	0,085
-0,065	-0,014	0,053
0,030	0,018	-0,011
-0,002	-0,077	-0,074
0,094	-0,109	-0,106
0,126	0,018	-0,011
0,126	0,018	-0,011
0,030	0,082	0,021
-0,065	0,082	0,053
-0,097	-0,014	-0,011
-0,065	-0,014	-0,011
0,030	-0,109	-0,074
-0,002	-0,109	-0,074
-0,002	0,018	-0,106
0,094	0,082	-0,042
0,062	0,050	0,021
-0,002	0,114	-0,011
-0,002	0,018	0,053
-0,097	0,018	0,053
-0,097	-0,045	0,021
-0,002	-0,077	0,021
-0,002	-0,014	-0,074
0,094	0,018	0,021
0,062	0,018	0,021
-0,002	0,082	0,085
-0,065	0,082	0,053
-0,065	-0,014	-0,042
-0,033	0,018	-0,042
-0,002	-0,045	-0,042
-0,002	-0,077	-0,074
-0,002	0,018	-0,106
0,030	0,082	0,021
0,062	0,082	-0,011
-0,002	0,018	0,053
-0,033	-0,014	0,085
-0,097	-0,014	-0,011
-0,097	-0,077	-0,106
-0,002	-0,077	-0,074
0,062	0,018	-0,074
0,062	0,018	0,021
0,062	0,018	0,021
0,030	0,114	-0,011
0,030	0,114	0,085
-0,065	0,018	0,085
-0,097	0,018	0,021
-0,002	-0,077	-0,011
0,030	0,018	-0,106
0,030	0,018	-0,106
0,126	0,082	-0,011
-0,002	0,082	0,085
-0,065	0,114	0,085
-0,065	0,050	0,021
-0,002	-0,077	0,021
-0,002	-0,045	-0,106
0,062	0,018	-0,011
0,062	0,018	-0,011
-0,002	0,114	0,117
-0,065	0,114	0,021
-0,065	-0,014	-0,011
-0,002	-0,014	-0,074
-0,002	-0,045	-0,074
0,126	0,018	-0,106
-0,002	0,018	-0,011
0,062	0,018	-0,011
0,030	0,082	0,085
-0,002	0,050	0,021
-0,065	-0,014	-0,011
-0,033	0,018	-0,011
0,030	-0,077	-0,106
0,062	-0,109	-0,074
0,030	-0,014	-0,106
0,062	0,018	-0,011
0,030	-0,014	0,021
-0,002	0,018	0,085
-0,065	-0,109	0,021
0,030	-0,077	0,021
0,094	-0,077	-0,106
0,094	0,018	0,021
-0,002	0,082	0,085
-0,065	0,082	0,117
-0,065	0,018	0,021
0,030	0,018	0,021
0,030	-0,109	-0,074
-0,002	-0,014	-0,074
0,062	0,082	-0,011
0,062	0,050	0,021
-0,033	0,018	0,053
-0,129	0,018	0,085
-0,097	-0,045	0,021
-0,002	-0,109	-0,106
0,062	0,018	-0,074
0,094	0,082	0,021
0,062	0,082	-0,011
-0,002	-0,014	0,085
-0,002	0,018	0,021
-0,097	-0,077	-0,011
-0,002	-0,077	0,021
0,030	0,018	-0,106
0,062	0,082	0,021
0,062	0,050	-0,011
-0,033	-0,014	0,021
-0,097	-0,014	0,085
-0,097	-0,109	-0,011
-0,002	-0,014	-0,011
-0,065	-0,014	-0,074
0,030	0,082	0,021
0,062	0,082	-0,011
-0,002	0,082	0,117
-0,033	0,018	0,117
-0,097	-0,014	-0,011
-0,129	-0,077	-0,011
-0,065	-0,077	-0,106
0,094	-0,014	-0,042
0,094	0,018	-0,011
0,030	0,082	-0,011
-0,065	0,114	0,053
-0,097	-0,014	-0,011
-0,097	-0,045	0,021
-0,002	-0,109	-0,074
0,062	-0,014	0,021
0,062	-0,014	0,021
0,030	0,082	0,021
-0,097	0,082	0,085
-0,065	0,050	0,021
0,030	-0,014	-0,011
-0,002	-0,109	-0,074
0,094	-0,014	-0,011
0,062	-0,014	0,021
-0,002	0,050	0,085
-0,097	0,018	0,021
-0,097	-0,014	0,021
-0,002	-0,045	0,021
-0,002	-0,045	-0,074
0,094	0,018	-0,011
0,094	0,018	0,021
0,030	0,050	0,085
-0,097	0,082	0,117
-0,065	-0,014	-0,011
-0,002	-0,109	-0,074
0,062	-0,045	-0,074
-0,002	0,050	0,085
-0,065	0,050	0,117
-0,097	-0,109	0,021
-0,002	-0,045	-0,042
0,030	0,050	0,021
-0,002	0,082	0,053
-0,129	-0,077	0,021
-0,065	-0,077	-0,042
-0,033	0,018	-0,106
0,062	0,050	-0,011
0,030	-0,014	0,021
-0,065	-0,109	-0,011
0,030	0,018	-0,042
0,126	0,082	0,021
-0,002	0,018	0,117
-0,065	-0,077	0,021
-0,002	-0,077	0,021
0,062	-0,014	-0,106
0,062	0,114	-0,042
-0,033	-0,014	0,021
-0,097	-0,045	-0,011
-0,002	-0,077	-0,106
0,062	0,018	-0,074
0,062	0,114	0,021
-0,002	0,018	0,117
-0,065	-0,077	0,021
-0,002	-0,077	0,021
0,030	0,018	-0,074
0,062	0,082	-0,011
-0,002	-0,014	-0,011
-0,002	0,018	0,085
-0,097	-0,077	0,021
-0,002	-0,014	-0,074
0,094	0,082	-0,042
0,062	0,114	0,021
-0,002	0,018	0,085
-0,065	-0,109	0,021
0,030	-0,014	-0,106
0,062	0,018	-0,074
0,094	0,082	0,021
0,030	0,018	0,117
-0,065	0,018	0,021
0,030	-0,077	0,021
0,062	0,018	-0,074
0,094	0,018	0,021
0,030	0,082	0,085
-0,065	-0,014	0,021
0,030	-0,077	-0,011
0,094	-0,077	-0,106
0,062	0,018	0,021
0,062	0,082	-0,042
-0,002	0,018	0,053
-0,033	-0,077	-0,042
0,030	-0,077	0,021
0,094	0,018	0,021
-0,002	-0,014	0,021
0,030	0,082	0,053
0,030	0,018	0,053
-0,097	-0,077	-0,074
0,030	0,018	-0,106
0,126	0,018	-0,106
0,062	0,018	-0,011
-0,002	0,018	0,053
-0,065	-0,109	0,021
0,062	-0,109	-0,042
0,062	-0,014	-0,011
-0,002	0,018	0,021
0,030	0,082	0,053
-0,097	0,018	-0,011
0,030	-0,077	-0,106
0,062	-0,077	-0,106
0,030	0,082	-0,042
-0,002	0,050	0,085
-0,097	-0,014	0,117
-0,033	-0,109	0,021
-0,065	-0,014	-0,042
0,062	-0,014	0,021
-0,002	0,050	0,117
-0,065	0,018	0,021
0,030	-0,045	-0,042
0,062	-0,077	-0,042
0,062	-0,014	0,021
-0,002	0,018	0,085
-0,097	-0,045	0,021
-0,002	-0,109	0,021
0,094	-0,077	-0,074
0,062	0,082	-0,042
-0,002	0,082	0,021
-0,097	0,018	0,053
-0,002	0,018	-0,011
-0,033	-0,045	-0,074
0,062	0,018	-0,011
0,030	0,114	-0,011
-0,097	0,082	0,117
-0,033	0,018	0,021
0,062	-0,109	-0,106
0,030	-0,014	0,021
-0,002	0,082	0,021
0,030	0,018	0,085
-0,065	-0,077	0,021
0,030	0,018	-0,106
0,094	-0,014	-0,011
0,094	0,114	-0,011
-0,002	0,050	0,085
-0,065	0,018	0,021
-0,002	-0,109	0,021
0,062	-0,014	-0,042
0,094	0,018	0,021
-0,002	0,114	0,085
-0,065	0,018	0,021
-0,002	-0,077	-0,011
0,062	-0,077	-0,074
0,062	0,018	0,021
0,094	0,082	0,021
0,030	0,018	0,085
-0,097	-0,109	0,085
-0,065	-0,077	-0,011
-0,002	-0,045	-0,106
0,062	0,018	0,021
-0,002	0,082	0,085
-0,097	0,082	0,085
-0,097	-0,014	-0,011
-0,097	-0,045	0,021
-0,002	-0,077	-0,074
0,062	0,018	0,021
-0,002	0,082	0,021
-0,097	0,082	0,085
-0,065	-0,014	-0,011
-0,002	-0,109	-0,106
0,062	-0,014	-0,106
0,062	0,018	0,021
0,030	0,082	0,117
-0,097	-0,014	-0,011
-0,002	-0,141	-0,011
0,094	-0,109	-0,106
0,030	-0,014	-0,011
-0,002	-0,014	0,053
-0,097	-0,014	0,021
-0,065	-0,109	0,021
-0,002	-0,014	-0,106
0,030	0,018	-0,011
-0,002	0,018	0,085
-0,065	-0,014	-0,011
-0,002	-0,077	-0,074
0,062	-0,014	-0,011
0,030	0,082	-0,011
-0,097	0,114	0,085
-0,002	0,018	0,021
-0,002	-0,077	-0,106
0,062	0,018	-0,011
-0,033	-0,014	-0,011
-0,002	0,082	0,053
-0,065	-0,014	-0,042
-0,002	-0,109	-0,074
0,062	-0,109	-0,074
-0,002	-0,045	-0,042
-0,002	0,082	0,053
-0,097	-0,014	0,085
-0,097	-0,109	0,021
-0,002	0,018	-0,106
0,062	0,018	-0,074
-0,002	0,082	0,021
-0,097	-0,014	0,053
-0,002	-0,014	0,021
0,030	-0,109	-0,074
0,062	0,018	0,021
-0,002	-0,014	0,085
-0,097	0,050	0,085
-0,097	0,018	-0,011
-0,002	-0,109	-0,042
-0,002	-0,109	-0,042
0,094	-0,014	0,021
0,030	0,050	0,085
0,030	0,050	0,085
-0,065	-0,014	0,085
-0,097	-0,077	-0,011
0,062	-0,109	-0,106
-0,002	-0,014	0,021
-0,002	0,050	0,085
-0,065	-0,014	0,021
-0,002	0,018	-0,074
-0,033	-0,109	-0,074
0,062	-0,109	-0,106
0,030	0,018	-0,042
-0,033	0,082	0,053
-0,065	0,018	-0,011
-0,097	-0,014	-0,074
0,030	-0,077	-0,074
0,062	-0,014	-0,042
-0,002	-0,045	0,021
-0,002	0,018	0,117
-0,097	-0,014	0,021
-0,002	-0,109	-0,042
0,094	-0,077	-0,074
0,094	0,018	-0,042
-0,002	0,082	0,053
-0,065	-0,014	0,053
-0,002	-0,014	-0,106
-0,002	-0,077	-0,011
0,062	0,018	-0,074
-0,002	0,050	0,085
-0,097	-0,014	0,053
-0,065	-0,109	0,021
-0,002	-0,077	-0,042
0,094	0,018	0,021
-0,033	0,082	0,053
-0,002	-0,014	-0,011
-0,002	-0,077	-0,074
0,062	0,018	-0,011
-0,002	0,082	0,085
-0,097	0,018	-0,011
-0,097	-0,014	0,021
0,062	-0,109	-0,106
-0,033	0,018	-0,011
-0,002	0,082	0,053
-0,097	0,018	-0,011
-0,033	-0,077	0,021
0,062	-0,014	-0,042
-0,002	0,018	0,021
-0,002	0,082	0,053
-0,065	0,018	0,085
-0,097	-0,109	-0,011
-0,002	-0,045	-0,074
0,062	0,050	-0,011
0,062	0,082	0,021
0,030	-0,045	0,085
-0,065	-0,109	-0,042
0,030	-0,109	-0,106
0,062	-0,014	-0,011
0,030	0,082	0,053
-0,097	0,018	-0,011
-0,002	-0,109	-0,011
0,062	-0,014	0,021
0,062	0,018	0,021
-0,065	0,050	0,085
-0,002	-0,014	0,021
-0,002	-0,109	-0,074
0,062	-0,014	0,021
-0,002	0,082	0,085
-0,097	-0,014	0,021
-0,002	-0,109	-0,106
0,094	0,018	-0,011
-0,002	0,114	0,085
-0,002	0,082	0,085
-0,002	0,018	-0,011
-0,002	-0,077	-0,074
0,126	-0,014	-0,074
0,094	0,050	0,021
0,062	-0,014	0,021
-0,097	-0,077	-0,042
-0,002	0,018	-0,074
0,062	0,082	-0,074
0,030	0,018	-0,011
-0,002	0,018	0,085
-0,097	-0,077	-0,011
-0,033	0,018	-0,074
0,062	0,018	-0,011
0,030	0,082	0,021
-0,065	0,018	0,021
-0,002	-0,109	-0,074
0,062	-0,045	0,021
-0,002	0,018	0,117
-0,065	-0,014	0,085
-0,033	-0,014	0,021
-0,002	-0,109	-0,074
0,062	-0,045	-0,011
-0,129	0,050	0,085
-0,097	-0,014	0,021
-0,002	-0,077	-0,042
-0,002	0,018	-0,011
-0,002	0,114	0,085
-0,097	0,018	0,021
-0,002	-0,077	-0,042
0,062	-0,045	0,021
-0,002	0,082	0,021
-0,033	-0,045	0,085
-0,065	-0,109	-0,011
-0,002	-0,014	-0,106
0,062	0,050	-0,106
-0,002	0,082	-0,011
-0,097	-0,014	0,021
-0,002	-0,109	-0,106
0,094	-0,014	-0,011
0,094	0,050	-0,011
-0,002	-0,014	0,085
-0,097	-0,109	-0,011
-0,002	-0,014	-0,074
0,062	0,018	0,021
-0,033	0,018	0,085
-0,097	-0,109	0,021
-0,002	-0,109	-0,106
0,062	0,082	-0,074
-0,002	0,018	0,085
-0,097	-0,077	-0,011
-0,002	0,018	0,021
0,062	0,018	-0,074
0,062	0,082	-0,074
-0,033	-0,014	0,021
-0,097	-0,077	-0,042
-0,002	0,018	-0,106
0,062	0,018	0,053
-0,002	0,082	0,085
-0,002	0,018	0,021
-0,002	0,018	-0,074
0,062	0,082	-0,042
0,030	0,050	-0,042
-0,033	-0,014	0,053
-0,097	-0,109	-0,011
0,030	-0,045	-0,074
0,062	-0,014	0,021
0,030	0,082	0,085
-0,065	0,018	0,021
-0,002	-0,077	-0,074
0,094	-0,014	0,021
0,030	0,050	-0,011
0,030	-0,014	0,085
-0,033	-0,077	-0,106
0,094	-0,077	-0,074
0,094	-0,014	-0,011
-0,002	0,018	0,021
-0,097	-0,014	0,053
0,030	-0,109	-0,106
0,062	0,018	-0,074
-0,002	0,082	0,021
-0,033	0,018	0,117
-0,033	-0,014	0,021
0,030	-0,109	-0,074
0,062	-0,014	-0,011
-0,033	0,050	0,085
-0,065	0,050	0,021
0,030	0,018	0,021
-0,002	-0,141	-0,074
0,062	-0,014	0,021
0,062	0,082	0,021
0,030	0,050	0,149
-0,065	-0,014	0,021
0,030	-0,141	-0,106
0,062	-0,014	0,021
-0,002	0,082	-0,011
-0,097	0,082	0,085
-0,002	0,018	-0,011
0,030	-0,109	-0,074
0,062	0,082	-0,011
0,030	0,114	0,053
-0,065	-0,045	0,085
0,030	-0,077	0,053
0,062	0,018	-0,042
0,094	0,082	-0,011
0,030	-0,014	0,117
-0,065	-0,014	0,021
0,030	-0,077	-0,074
0,126	0,082	-0,106
0,030	0,082	-0,011
-0,002	-0,014	0,085
0,030	-0,077	-0,074
0,062	0,018	0,021
0,062	0,018	0,021
-0,065	0,114	0,085
0,030	0,050	0,021
-0,002	-0,077	-0,074
0,094	0,114	-0,106
0,094	0,082	0,053
-0,002	0,018	0,085
-0,065	-0,077	0,021
-0,002	0,018	-0,074
0,062	0,082	-0,011
-0,033	0,082	0,021
-0,002	0,018	0,021
-0,033	-0,109	0,021
0,062	0,018	-0,106
0,062	0,018	-0,011
-0,033	0,050	0,085
-0,097	-0,014	-0,042
-0,033	-0,109	-0,074
0,062	-0,014	-0,011
0,062	0,082	0,021
0,030	-0,045	0,053
-0,065	-0,014	-0,011
-0,002	-0,014	-0,011
0,094	0,018	-0,106
0,062	0,082	-0,011
-0,002	-0,014	0,053
-0,002	-0,014	-0,011
0,030	-0,109	-0,011
0,094	-0,014	-0,011
-0,002	0,050	0,085
-0,065	-0,014	0,117
-0,033	-0,014	0,021
0,030	-0,077	-0,074
0,094	-0,014	0,021
-0,002	0,114	0,053
-0,065	0,018	-0,011
-0,097	0,018	0,021
0,030	-0,077	-0,074
0,062	0,018	-0,011
-0,033	0,050	-0,011
-0,097	-0,109	0,085
-0,097	-0,077	-0,011
0,030	0,018	-0,106
0,062	0,082	0,021
-0,002	0,018	0,117
-0,097	-0,077	0,053
-0,002	-0,014	-0,074
0,094	0,082	-0,042
0,094	0,082	0,021
0,062	-0,014	0,085
-0,065	-0,077	0,021
0,030	0,018	-0,138
0,062	0,050	-0,074
0,030	0,018	0,053
-0,033	-0,014	0,053
-0,097	-0,077	0,021
-0,002	-0,014	-0,074
0,062	0,050	-0,011
-0,002	0,018	0,053
-0,065	-0,045	-0,011
-0,002	0,018	-0,106
0,062	0,082	-0,042
-0,002	0,018	0,021
-0,097	-0,077	-0,011
-0,033	-0,109	-0,106
0,062	0,018	0,021
-0,002	0,050	0,085
-0,097	-0,014	0,021
-0,002	-0,077	-0,011
-0,002	-0,014	-0,074
0,062	0,018	0,021
-0,002	0,018	-0,011
-0,065	0,018	-0,011
-0,002	-0,077	-0,011
0,062	-0,109	-0,106
0,062	-0,014	-0,011
-0,002	0,050	-0,042
-0,002	0,018	0,021
-0,065	-0,045	0,021
-0,002	0,018	-0,106
0,062	0,082	-0,106
0,062	0,082	0,021
-0,033	-0,014	0,053
-0,097	-0,109	-0,011
-0,002	-0,077	-0,106
0,062	0,018	0,021
0,030	0,082	0,085
0,030	0,050	0,085
-0,002	-0,014	0,021
-0,002	-0,045	-0,106
0,062	0,018	-0,011
-0,002	0,082	0,085
-0,097	-0,014	0,021
-0,033	-0,077	-0,074
0,062	0,018	0,021
-0,002	0,082	0,085
-0,097	0,082	-0,011
-0,065	0,018	-0,011
-0,002	-0,109	-0,106
0,062	-0,014	-0,011
-0,129	0,050	0,053
-0,097	-0,014	0,021
-0,002	-0,077	-0,074
0,094	-0,014	-0,074
-0,002	0,018	-0,011
-0,097	0,050	0,117
-0,097	0,018	0,021
0,030	-0,077	-0,074
0,062	0,018	0,021
-0,002	0,082	0,021
0,030	0,018	0,085
-0,097	-0,077	0,021
-0,002	-0,014	-0,074
0,062	-0,014	-0,074
0,062	0,082	-0,042
-0,002	0,050	0,021
-0,065	-0,077	-0,011
-0,002	-0,014	-0,106
0,062	0,018	-0,074
-0,002	0,082	-0,011
0,030	0,018	0,085
-0,097	-0,077	0,021
-0,002	-0,014	-0,074
0,094	0,050	0,021
0,030	0,082	0,085
-0,097	-0,014	0,021
-0,002	-0,077	-0,106
0,062	-0,077	-0,106
0,062	0,082	-0,042
0,030	0,018	0,085
-0,097	-0,077	0,085
-0,002	-0,109	-0,011
-0,002	-0,014	-0,106
0,126	0,082	-0,011
0,062	0,082	0,085
-0,097	-0,109	0,053
-0,002	-0,109	-0,106
0,062	0,018	-0,074
-0,002	0,018	0,021
-0,002	0,082	0,085
-0,097	0,018	0,021
-0,002	-0,109	-0,106
-0,002	-0,077	-0,074
0,062	-0,014	-0,011
-0,002	0,082	0,085
-0,097	0,018	-0,011
-0,097	-0,045	0,021
-0,033	-0,014	-0,074
0,062	0,082	-0,011
-0,002	-0,014	0,085
-0,097	-0,014	-0,011
0,030	-0,109	-0,106
0,094	-0,077	-0,074
0,094	-0,014	-0,042
0,030	0,050	0,085
-0,065	-0,045	-0,011
0,030	-0,014	-0,106
0,094	-0,109	-0,106
0,062	-0,014	-0,011
-0,002	0,082	-0,011
-0,065	0,114	0,021
-0,033	0,018	-0,011
-0,002	-0,045	-0,106
0,094	-0,014	-0,042
0,062	0,050	-0,042
-0,002	-0,014	0,053
-0,065	-0,109	-0,011
0,030	0,018	0,021
0,094	0,018	-0,042
-0,002	0,082	-0,042
-0,002	0,018	0,117
-0,065	0,018	0,085
-0,097	-0,077	-0,011
-0,002	0,018	-0,074
0,062	0,018	-0,106
0,062	0,082	-0,011
-0,002	-0,014	0,085
-0,097	-0,077	-0,011
-0,002	-0,014	-0,074
0,094	0,082	-0,074
0,030	0,018	-0,011
0,062	-0,077	0,085
-0,097	-0,077	-0,042
-0,002	0,018	-0,138
0,062	0,082	-0,011
-0,002	-0,014	0,021
-0,097	-0,109	-0,011
-0,002	-0,077	0,021
0,062	0,018	-0,074
-0,002	0,114	0,021
-0,065	0,018	0,085
-0,002	-0,045	-0,011
0,062	-0,014	0,021
0,030	0,082	0,085
-0,065	0,082	0,117
-0,065	-0,077	-0,011
-0,002	-0,014	-0,074
0,094	0,082	-0,011
-0,002	-0,014	0,117
-0,097	-0,014	0,021
0,062	-0,109	-0,074
-0,002	-0,014	-0,011
-0,002	0,050	0,085
-0,065	-0,014	0,021
0,030	-0,109	-0,074
0,094	-0,014	0,021
0,030	0,082	0,085
-0,033	-0,014	-0,011
0,030	-0,109	-0,074
0,062	-0,014	-0,011
-0,033	0,082	0,085
-0,002	-0,014	-0,011
-0,002	-0,077	-0,074
0,062	0,018	-0,011
-0,097	0,082	0,085
-0,002	-0,014	0,021
0,062	-0,109	-0,042
0,030	-0,014	0,021
-0,002	0,082	0,085
-0,097	-0,014	0,053
-0,033	-0,109	-0,074
0,062	-0,014	0,021
-0,065	0,082	0,053
-0,002	0,018	0,021
-0,002	-0,109	-0,074
0,062	-0,014	0,021
-0,033	0,082	0,085
-0,097	-0,014	0,021
-0,002	-0,109	-0,042
0,094	-0,014	0,053
0,030	0,018	0,085
-0,065	-0,045	-0,011
-0,002	-0,109	0,021
0,062	-0,109	-0,074
-0,065	0,018	-0,011
-0,097	0,082	0,053
-0,097	-0,014	-0,042
-0,002	-0,077	-0,074
0,030	-0,014	0,021
-0,002	0,082	0,117
-0,097	0,018	-0,011
-0,002	-0,109	-0,042
0,062	0,018	-0,011
-0,033	0,082	-0,011
-0,097	-0,109	0,085
-0,002	-0,077	-0,011
0,030	0,050	-0,074
0,030	0,050	0,053
-0,065	-0,077	-0,011
-0,002	-0,077	-0,106
0,094	0,018	-0,011
-0,002	0,082	0,053
-0,065	0,018	-0,011
0,030	-0,077	-0,074
0,094	0,018	-0,011
-0,002	0,082	0,117
-0,097	0,018	0,021
-0,002	-0,077	-0,042
0,062	0,018	-0,011
-0,033	0,082	0,085
-0,002	0,018	0,117
-0,097	-0,077	0,021
-0,002	-0,014	-0,074
0,062	0,082	0,021
-0,097	0,082	0,117
-0,002	-0,014	0,021
0,030	-0,109	-0,042
0,062	-0,014	-0,011
-0,002	0,018	0,085
-0,097	0,018	0,021
-0,002	-0,109	-0,106
-0,002	0,018	-0,106
0,062	0,050	0,021
-0,033	-0,045	0,085
-0,065	-0,077	0,021
-0,002	-0,109	-0,074
0,062	-0,014	0,021
-0,033	0,050	0,053
-0,097	0,018	-0,011
-0,033	-0,077	-0,106
0,062	0,018	-0,042
0,030	0,082	0,085
-0,065	0,050	0,085
-0,097	0,018	-0,011
0,062	-0,077	-0,106
0,030	0,018	0,021
-0,097	0,082	0,085
-0,033	-0,014	0,021
-0,002	-0,077	-0,074
0,094	-0,014	-0,011
0,030	0,082	0,053
-0,097	0,018	0,053
-0,065	0,018	0,021
0,094	-0,109	-0,074
0,062	0,050	-0,074
